group,sample,phase,nuclide,E,br,start,lt,gross,bg,net,u_net,Lc,Ld,n_pk,rate,u_rate,detected
repro,2,before,Cs-134,795.86,0.855,2026-03-24T08:20:38.538000,29999.9999999,203.0,128.46153846153848,74.53846153846152,17.372868733958054,32.69938551437552,48.93403317110647,20,0.002484615384623666,0.0005790956244671988,True
repro,2,before,Cs-137,661.66,0.851,2026-03-24T08:20:38.538000,29999.9999999,729.0,133.84615384615384,595.1538461538462,28.843692202657703,33.377667196130126,49.89285592766852,20,0.01983846153852767,0.0009614564067584616,True
repro,2,before,Co-60,1173.23,0.9985,2026-03-24T08:20:38.538000,29999.9999999,74.0,66.92307692307692,7.07692307692308,11.201753877890212,23.601574814571393,36.073317382202305,20,0.00023589743589822232,0.0003733917959309184,False
repro,2,before,Co-60,1332.49,0.9998,2026-03-24T08:20:38.538000,29999.9999999,52.0,55.38461538461539,-3.384615384615387,9.726435641891534,21.470769230769232,33.0611987616995,20,-0.00011282051282088896,0.0003242145213974652,False
repro,2,after,Am-241,59.54,0.359,2026-03-31T10:14:58.703000,29999.9999999,1891.0,819.0,1072.0,50.0524724664027,81.52621704703341,117.95591370196169,21,0.035733333333452445,0.0016684157488856513,True
repro,2,after,Cs-134,604.72,0.976,2026-03-31T10:14:58.703000,29999.9999999,332.0,178.46153846153848,153.53846153846152,21.662827758833235,38.541210281214944,57.19206914194951,20,0.005117948717965777,0.0007220942586301815,True
repro,2,after,Cs-134,795.86,0.855,2026-03-31T10:14:58.703000,29999.9999999,227.0,114.28571428571429,112.71428571428571,17.56794390534147,29.720537803797207,44.72311748509419,20,0.0037571428571553807,0.000585598130180001,True
repro,2,after,Cs-137,661.66,0.851,2026-03-31T10:14:58.703000,29999.9999999,737.0,141.53846153846155,595.4615384615385,29.083942986551367,34.32339730223195,51.229745263896156,20,0.019848717948784112,0.0009694647662216105,True
repro,2,after,Co-60,1173.23,0.9985,2026-03-31T10:14:58.703000,29999.9999999,76.0,83.25,-7.25,11.765946625750093,25.992464590723213,39.45309246307393,21,-0.00024166666666747223,0.0003921982208596438,False
repro,2,after,Co-60,1332.49,0.9998,2026-03-31T10:14:58.703000,29999.9999999,50.0,50.0,0.0,9.258200997725515,19.6582879649853,30.499065167024654,20,0.0,0.0003086066999252125,False
repro,3,before,Am-241,59.54,0.359,2026-03-25T13:57:02.867000,79999.9999999,5189.0,2120.769230769231,3068.230769230769,82.5854766090598,132.86167978401292,190.5240092511896,20,0.038352884615432556,0.0010323184576145378,True
repro,3,before,Cs-134,604.72,0.976,2026-03-25T13:57:02.867000,79999.9999999,942.0,479.2307692307693,462.7692307692307,36.20274924994562,63.15756522357726,91.98988535495599,20,0.005784615384622615,0.00045253436562488593,True
repro,3,before,Cs-134,795.86,0.855,2026-03-25T13:57:02.867000,79999.9999999,611.0,309.2857142857143,301.7142857142857,28.84299511747937,48.8923172045737,71.82445144077455,20,0.003771428571433286,0.00036053743896894276,True
repro,3,before,Cs-137,661.66,0.851,2026-03-25T13:57:02.867000,79999.9999999,1954.0,331.53846153846155,1622.4615384615386,47.00031474148675,52.531522866508986,76.96885279840318,20,0.020280769230794582,0.0005875039342693188,True
repro,3,before,Co-60,1173.23,0.9985,2026-03-25T13:57:02.867000,79999.9999999,191.0,204.6153846153846,-13.615384615384613,18.665381048993936,41.26883168492965,61.04784992376572,20,-0.00017019230769252042,0.00023331726311271586,False
repro,3,before,Co-60,1332.49,0.9998,2026-03-25T13:57:02.867000,79999.9999999,145.0,125.38461538461539,19.615384615384613,15.538651940950729,32.30540262948683,48.377096774490184,20,0.00024519230769261415,0.0001942331492621269,False
repro,3,after,Am-241,59.54,0.359,2026-03-27T09:35:19.324000,29999.9999999,1902.0,800.7692307692308,1101.230769230769,50.179441321730025,81.64070017007666,118.11774768121971,20,0.03670769230781466,0.001672648044063243,True
repro,3,after,Cs-134,604.72,0.976,2026-03-27T09:35:19.324000,29999.9999999,338.0,170.76923076923077,167.23076923076923,21.664739711004195,37.70143173713149,56.0049535228798,20,0.005574358974377556,0.0007221579903692137,True
repro,3,after,Cs-134,795.86,0.855,2026-03-27T09:35:19.324000,29999.9999999,213.0,135.3846153846154,77.61538461538461,17.808481457842483,33.568944791844,50.163247000469575,20,0.0025871794871881112,0.0005936160485967281,True
repro,3,after,Cs-137,661.66,0.851,2026-03-27T09:35:19.324000,29999.9999999,737.0,127.6923076923077,609.3076923076923,28.90025695510346,32.60133616167637,48.79543006097834,20,0.02031025641032411,0.0009633418985066597,True
repro,3,after,Co-60,1173.23,0.9985,2026-03-27T09:35:19.324000,29999.9999999,71.0,60.0,11.0,10.823763031120285,22.34748514503796,34.30052925263423,20,0.0003666666666678889,0.00036079210103854545,False
repro,3,after,Co-60,1332.49,0.9998,2026-03-27T09:35:19.324000,29999.9999999,57.0,51.53846153846154,5.46153846153846,9.830817382812134,20.71184356606928,31.988377222466845,20,0.00018205128205188884,0.00032769391276149675,False
